"Polskim odpowiednikiem baby shower jest:","bociankowe","prysznicowe","500+","becikowe",0,"społeczeństwo"
"W piosence Dwa plus Jeden pada propozycja: 'Chodź pomaluj mój świat...","'niech wygląda jak kwiat'","'mam już dość szarych krat'","'na żółto i na niebiesko'","'bo świat jest dziś pod kreską'",2,"muzyka"
"Co jest tradycyjnym środkiem transportu amiszów?", "motorówka", "zaprzęg", "śnieżny skuter", "motocykl", 1,"społeczeństwo"
"Pęd wyrosły z nieuszlachetnionej podkładki to:", "kot albo pies", "wilk albo dzik", "koń albo krowa", "baran albo kozioł", 1,"natura"
"Tytułowa wataha z serialu wyreżyserowanego m.in. przez Kasię Adamik to:", "wilcza rodzina", "rosyjscy szpiedzy", "strażnicy graniczni", "uchodźcy ze Wschodu", 2,"filmy i seriale"
"Których bierek w bierkach jest najwięcej?", "wioseł", "bosaków", "trójzębów", "oszczepów", 3,"gry planszowe"
"W jakiej bitwie miał swój udział sławny w Polsce i Szkocji kapral niedźwiedź o imieniu Wojtek?", "pod Grunwaldem", "pod Wiedniem", "pod Monte Cassino", "o Anglię", 2,"historia"
"Aorta wychodzi z lewej komory serca, a kończy się:", "w prawej komorze", "w jamie brzusznej", "w płucach", "w mózgu", 1,"biologia"
"Autor dwóch pozycji - 'Książki, którą napisałem, żeby mieć na dziwki i narkotyki' i 'Książki, którą napisałem, żeby mieć na odwyk' to:", "Marek Raczkowski", "Maciej Maleńczuk", "Kamil Durczok", "Witkacy", 3,"literatura"
"Symbol waluty euro to stylizowana litera grecka. Która?", "beta", "heta", "eta", "epsilon", 3,"języki"
"Za 30 judaszowych srebrników arcykapłani kupili kawałek ziemi nazywany Polem Garncarza, który przeznaczyli na:", "plantację oliwek", "wybieg dla lwów", "cmentarz dla cudzoziemców", "targowisko", 2,"Biblia"
"ZA MILION!!!!: Ile to jest 1111 razy 1111, jeśli 1 razy 1 to 1, a 11 razy 11 to 121", "12 321", "1 234 321", "111 111 111", "123 454 321", 1,"matematyka"
